articleName,articleTime,articleUrl,articleWriter
Аппроксимация прямыми линиями контуров объектов на полутоновых изображениях,2004 ,https://cyberleninka.ru/article//article/n/approksimatsiya-pryamymi-liniyami-konturov-obektov-na-polutonovyh-izobrazheniyah," Дудкин А. А., Вершок Д. А."
Применение нечеткой логики при поиске информации в сети Интернет,2006 ,https://cyberleninka.ru/article//article/n/primenenie-nechetkoy-logiki-pri-poiske-informatsii-v-seti-internet, Краснощеков Е. Е.
Схемотехнические аспекты реализации перестраиваемых ARC-фильтров,1997 ,https://cyberleninka.ru/article//article/n/shemotehnicheskie-aspekty-realizatsii-perestraivaemyh-arc-filtrov, Калякин А. И.
Современное состояние и перспективы внедрения квантово-криптографических технологий,2009 ,https://cyberleninka.ru/article//article/n/sovremennoe-sostoyanie-i-perspektivy-vnedreniya-kvantovo-kriptograficheskih-tehnologiy, Михайлов Александр Сергеевич
Формирование информационного потенциала личностной и социальной системы.,2008 ,https://cyberleninka.ru/article//article/n/formirovanie-informatsionnogo-potentsiala-lichnostnoy-i-sotsialnoy-sistemy, Осипова-дербас Лариса Витальевна
Архитектура высокопроизводительной системы многоагентного моделирования,2008 ,https://cyberleninka.ru/article//article/n/arhitektura-vysokoproizvoditelnoy-sistemy-mnogoagentnogo-modelirovaniya," Набиуллин О. Р., Норкин В. М."
Биомеханические особенности выполнения волейболистами прыжковых упражнений на опорах с различными упругими свойствами,2007 ,https://cyberleninka.ru/article//article/n/biomehanicheskie-osobennosti-vypolneniya-voleybolistami-pryzhkovyh-uprazhneniy-na-oporah-s-razlichnymi-uprugimi-svoystvami," Федякин А. А., Ашибоков М. Д., Комнатный М. М."
О построении активных моделей распределенных систем реального времени,2008 ,https://cyberleninka.ru/article//article/n/o-postroenii-aktivnyh-modeley-raspredelennyh-sistem-realnogo-vremeni, Погребной Владимир Кириллович
Методы управления точностью решения экстремальных задач на графах,2010 ,https://cyberleninka.ru/article//article/n/metody-upravleniya-tochnostyu-resheniya-ekstremalnyh-zadach-na-grafah," Чернышев Юрий Олегович, Литвиненко Василий Афанасьевич, Ховансков Сергей Андреевич, Литвиненко Егор Васильевич"
Двухмерная упаковка со связями. 1 часть,1999 ,https://cyberleninka.ru/article//article/n/dvuhmernaya-upakovka-so-svyazyami-1-chast, Бондалетов А. В.
Регистрация и анализ событий безопасности в информационных системах,2003 ,https://cyberleninka.ru/article//article/n/registratsiya-i-analiz-sobytiy-bezopasnosti-v-informatsionnyh-sistemah," Макаревич О. Б., Шелудько И. А."
Координатор распределенных действий для БД в многопользовательской средев,2008 ,https://cyberleninka.ru/article//article/n/koordinator-raspredelennyh-deystviy-dlya-bd-v-mnogopolzovatelskoy-sredev," Боровской Дмитрий Петрович, Вагнер Дмитрий Петрович"
О семантической структуре модальности возможности и невозможности,2007 ,https://cyberleninka.ru/article//article/n/o-semanticheskoy-strukture-modalnosti-vozmozhnosti-i-nevozmozhnosti, Гатина Р. Г.
Автоматизация восстановления электроснабжения в распределительных сетях,2010 ,https://cyberleninka.ru/article//article/n/avtomatizatsiya-vosstanovleniya-elektrosnabzheniya-v-raspredelitelnyh-setyah," Кызродев И. В., Успенский М. И."
Организационные меры защиты информации в акционерном коммерческом банке,2003 ,https://cyberleninka.ru/article//article/n/organizatsionnye-mery-zaschity-informatsii-v-aktsionernom-kommercheskom-banke," Граник В. А., Шевцова Г. А., Граник Л. В."
Оценка конфиденциальности сетевых транзакций,2005 ,https://cyberleninka.ru/article//article/n/otsenka-konfidentsialnosti-setevyh-tranzaktsiy, Хади Р. А.
Гибридные сети Петри как аппарат ситуационного управления параллельными процессами,1998 ,https://cyberleninka.ru/article//article/n/gibridnye-seti-petri-kak-apparat-situatsionnogo-upravleniya-parallelnymi-protsessami," Кудряшова Э. Е., Медведев М. А., Самсонов Н. И."
Виртуальное предприятие Томского политехнического университета на базе современных информационных технологий,2006 ,https://cyberleninka.ru/article//article/n/virtualnoe-predpriyatie-tomskogo-politehnicheskogo-universiteta-na-baze-sovremennyh-informatsionnyh-tehnologiy," Аникин А. С., Дмитриева Е. А., Цапко Г. П., Цапко С. Г."
Анализ эффекта непоследовательности гипертекстовых систем обучения,2001 ,https://cyberleninka.ru/article//article/n/analiz-effekta-neposledovatelnosti-gipertekstovyh-sistem-obucheniya, Горбатюк H. B.
"Метод решения задачи размещения, основанный на комбинировании методов эволюционной адаптации и имитации отжига",1997 ,https://cyberleninka.ru/article//article/n/metod-resheniya-zadachi-razmescheniya-osnovannyy-na-kombinirovanii-metodov-evolyutsionnoy-adaptatsii-i-imitatsii-otzhiga, Ведерникова О. Г.
Многоуровневые модели в анализе САПР,2011 ,https://cyberleninka.ru/article//article/n/mnogourovnevye-modeli-v-analize-sapr," Лисяк Владимир Васильевич, Лисяк Наталия Константиновна"
Организационно-режимные процессы защиты информации в сетях подвижной связи,2006 ,https://cyberleninka.ru/article//article/n/organizatsionno-rezhimnye-protsessy-zaschity-informatsii-v-setyah-podvizhnoy-svyazi, Максименко В. Н.
Получение передаточной функции кардиологического заболевания методом сравнения экг больного и экг без патологий,2009 ,https://cyberleninka.ru/article//article/n/poluchenie-peredatochnoy-funktsii-kardiologicheskogo-zabolevaniya-metodom-sravneniya-ekg-bolnogo-i-ekg-bez-patologiy," Абрамов Михаил Владимирович, Сергейчик Оксана Ивановна"
Многоагентная модель среды поддержки программного продукта для систем со слоистой архитектурой,2008 ,https://cyberleninka.ru/article//article/n/mnogoagentnaya-model-sredy-podderzhki-programmnogo-produkta-dlya-sistem-so-sloistoy-arhitekturoy, Гурьянов Василий Иванович
Имитационная модель «Хакер-администратор»,2010 ,https://cyberleninka.ru/article//article/n/imitatsionnaya-model-haker-administrator," Бондаренко О. С., Малиновская Е. А."
Анализ современного состояния автоматизированных систем приобретения и представления знаний,2008 ,https://cyberleninka.ru/article//article/n/analiz-sovremennogo-sostoyaniya-avtomatizirovannyh-sistem-priobreteniya-i-predstavleniya-znaniy," Курейчик В. В., Сороколетов П. В., Щеглов С. Н."
Об установлении порядка в моделях искусственных систем,2001 ,https://cyberleninka.ru/article//article/n/ob-ustanovlenii-poryadka-v-modelyah-iskusstvennyh-sistem," Курейчик В. В., Курейчик В. М."
Реализация программного алгебро-геометрического кодека с применением алгоритма Сакаты,2008 ,https://cyberleninka.ru/article//article/n/realizatsiya-programmnogo-algebro-geometricheskogo-kodeka-s-primeneniem-algoritma-sakaty," Маевский А. Э., Пеленицын А. М."
Библиотека в единой информационной среде университета,2007 ,https://cyberleninka.ru/article//article/n/biblioteka-v-edinoy-informatsionnoy-srede-universiteta, Кузнецова Натела Нодарьевна
Корреляция предупреждений в системе обнаружения атак,2004 ,https://cyberleninka.ru/article//article/n/korrelyatsiya-preduprezhdeniy-v-sisteme-obnaruzheniya-atak," Абрамов Е. С., Бабенко Л. К., Макаревич О. Б., Пескова О. Ю."
Создание и использование системы обработки и анализа данных с применением пакета MatLab,2008 ,https://cyberleninka.ru/article//article/n/sozdanie-i-ispolzovanie-sistemy-obrabotki-i-analiza-dannyh-s-primeneniem-paketa-matlab," Андреев Всеволод Владимирович, Семенов Михаил Игоревич"
Модель многоагентной системы защиты информации,2000 ,https://cyberleninka.ru/article//article/n/model-mnogoagentnoy-sistemy-zaschity-informatsii," Городецкий В. И., Карсаев О. В., Котенко И. В., Хабалов А. В."
Психотехнологии в компьютерных играх,2008 ,https://cyberleninka.ru/article//article/n/psihotehnologii-v-kompyuternyh-igrah," Хало П. В., Бородянский Ю. М."
Макрообъектная вычислительная система,2004 ,https://cyberleninka.ru/article//article/n/makroobektnaya-vychislitelnaya-sistema," Левин И. И., Коновальчик П. М., Иванов А. И., Малеванчук А. Д."
Некоторые проблемы создания экспертных систем,1999 ,https://cyberleninka.ru/article//article/n/nekotorye-problemy-sozdaniya-ekspertnyh-sistem, Гречин И. В.
Алгоритмические средства мониторинга состояния кожи в процессе терапевтических и косметологических процедур,2009 ,https://cyberleninka.ru/article//article/n/algoritmicheskie-sredstva-monitoringa-sostoyaniya-kozhi-v-protsesse-terapevticheskih-i-kosmetologicheskih-protsedur," Алексенко Виктор Александрович, Белобров Андрей Петрович, Жилин Валерий Вячеславович"
Организация распределенных вычислений на основе мультиагентного подхода,2007 ,https://cyberleninka.ru/article//article/n/organizatsiya-raspredelennyh-vychisleniy-na-osnove-multiagentnogo-podhoda," Литвиненко В. А., Ховансков С. А."
Разделяющая мощность слабосвязанных нейронных сетей,2004 ,https://cyberleninka.ru/article//article/n/razdelyayuschaya-moschnost-slabosvyazannyh-neyronnyh-setey," Дорогов А. Ю., Алексеев А. А., Шестопалов М. Ю."
Информационная технология контроля образовательного процесса,1997 ,https://cyberleninka.ru/article//article/n/informatsionnaya-tehnologiya-kontrolya-obrazovatelnogo-protsessa, Терcков А. Х.
Синтез обобщенного метода нечеткого критического пути,2000 ,https://cyberleninka.ru/article//article/n/sintez-obobschennogo-metoda-nechetkogo-kriticheskogo-puti-1," Слепцов А. И., Тыщук Т. А."
Оценка качества изображений с использованием вейвлетов,2009 ,https://cyberleninka.ru/article//article/n/otsenka-kachestva-izobrazheniy-s-ispolzovaniem-veyvletov," Сидоров Дмитрий Владимирович, Осокин Александр Николаевич, Марков Николай Григорьевич"
К вопросу о моделированиии информационно-коммуникационных технологий управления и сервиса,2005 ,https://cyberleninka.ru/article//article/n/k-voprosu-o-modelirovaniii-informatsionno-kommunikatsionnyh-tehnologiy-upravleniya-i-servisa, Тюшняков В. Н.
Способ стабилизации изображения в реальном масштабе времени,2006 ,https://cyberleninka.ru/article//article/n/sposob-stabilizatsii-izobrazheniya-v-realnom-masshtabe-vremeni," Bibhuti Bikramaditya, Ohyun Kwon, Sateesh Kumar Talapuri Venkata Sai, Benjamin Ryu, Joonki Paik"
Сжатие изображений в медицинских системах,2006 ,https://cyberleninka.ru/article//article/n/szhatie-izobrazheniy-v-meditsinskih-sistemah, Ткаченко М. Г.
Алгоритмы структурной идентификации математических моделей криптосистем на основе определения базовых параметров,2009 ,https://cyberleninka.ru/article//article/n/algoritmy-strukturnoy-identifikatsii-matematicheskih-modeley-kriptosistem-na-osnove-opredeleniya-bazovyh-parametrov, Горбунов Александр Александрович
Индивидуально-психологическое содержание профессионально важных качеств субъекта труда,2006 ,https://cyberleninka.ru/article//article/n/individualno-psihologicheskoe-soderzhanie-professionalno-vazhnyh-kachestv-subekta-truda, Поваренков Юрий Павлович
Применение технологии сканирования чертежей и документации в САПР,2003 ,https://cyberleninka.ru/article//article/n/primenenie-tehnologii-skanirovaniya-chertezhey-i-dokumentatsii-v-sapr," Янушко В. В., Носко О. Э."
Управление ресурсами в сервис-ориентированных системах типа «Приложение как сервис,2010 ,https://cyberleninka.ru/article//article/n/upravlenie-resursami-v-servis-orientirovannyh-sistemah-tipa-prilozhenie-kak-servis," Бойченко Иван Валентинович, Корытников Сергей Викторович"
Вопросы надежности самоорганизующихся нейрокомпьютерных систем,1999 ,https://cyberleninka.ru/article//article/n/voprosy-nadezhnosti-samoorganizuyuschihsya-neyrokompyuternyh-sistem," Чернухин Ю. В., Катаев Б. В."
"Применение технологий интеллектуального анализа данных в естественнонаучных, технических и гуманитарных областях",2011 ,https://cyberleninka.ru/article//article/n/primenenie-tehnologiy-intellektualnogo-analiza-dannyh-v-estestvennonauchnyh-tehnicheskih-i-gumanitarnyh-oblastyah," Дюк Вячеслав Анатольевич, Флегонтов Александр Владимирович, Фомина Инга Константиновна"
Построение признаков распознавания с применением сортировки для обработки гидроакустических сигналов,2010 ,https://cyberleninka.ru/article//article/n/postroenie-priznakov-raspoznavaniya-s-primeneniem-sortirovki-dlya-obrabotki-gidroakusticheskih-signalov," Корякин Алексей Борисович, Ромм Яков Евсеевич"
Редуцирование рабочей области карты геоинформационной системы,2009 ,https://cyberleninka.ru/article//article/n/redutsirovanie-rabochey-oblasti-karty-geoinformatsionnoy-sistemy," Беляков Станислав Леонидович, Самойлов Дмитрий Станиславович"
Доопределяемая методика оценки объектов,2010 ,https://cyberleninka.ru/article//article/n/doopredelyaemaya-metodika-otsenki-obektov," Долгов Александр Иванович, Преснухин Вячеслав Валерьевич, Шихов Денис Викторови"
Формирование массивов для моделирования алгоритмов интеллектуальной обработки информации. моделирование комплексного алгорима автоматической классификации,2010 ,https://cyberleninka.ru/article//article/n/formirovanie-massivov-dlya-modelirovaniya-algoritmov-intellektualnoy-obrabotki-informatsii-modelirovanie-kompleksnogo-algorima, Дорофеюк Юлия Александровна
Проектирование информационного обеспечения интегрированных систем управления,1997 ,https://cyberleninka.ru/article//article/n/proektirovanie-informatsionnogo-obespecheniya-integrirovannyh-sistem-upravleniya, Гончаренко Г. И.
Использование онтологии в системе семантического анализа кейсов,2008 ,https://cyberleninka.ru/article//article/n/ispolzovanie-ontologii-v-sisteme-semanticheskogo-analiza-keysov," Шишин А. В., Козырев О. Р."
Модель построения систем диагностики неврологических больных,2001 ,https://cyberleninka.ru/article//article/n/model-postroeniya-sistem-diagnostiki-nevrologicheskih-bolnyh, Попова Е. В.
Методика планирования экспериментальных исследований взаимодействия зрительного и вибротактильного каналов передачи сенсорной информации,2002 ,https://cyberleninka.ru/article//article/n/metodika-planirovaniya-eksperimentalnyh-issledovaniy-vzaimodeystviya-zritelnogo-i-vibrotaktilnogo-kanalov-peredachi-sensornoy," Статников И. Н., Фирсов Г. И."
Разработка базы данных кишечных инфекций с водным путем передачи,2008 ,https://cyberleninka.ru/article//article/n/razrabotka-bazy-dannyh-kishechnyh-infektsiy-s-vodnym-putem-peredachi," Наркайтис Лидия Игоревна, Елисеев Юрий Юрьевич, Яшечкин Юрий Иванович, Куклев Евгений Валентинович, Данилов Алексей Николаевич, Кожанова Ольга Ивановна, Минаева Маргарита Евгеньевна"
Показатели восстанавления программных средств мехатронных систем,2009 ,https://cyberleninka.ru/article//article/n/pokazateli-vosstanavleniya-programmnyh-sredstv-mehatronnyh-sistem, Фролов Виктор Яковлевич
Инновационные способы обеспечения информационной безопасности на предприятиях,2011 ,https://cyberleninka.ru/article//article/n/innovatsionnye-sposoby-obespecheniya-informatsionnoy-bezopasnosti-na-predpriyatiyah, Лузин Алексей Иванович
Методика выбора рационального комплекса программно-аппаратных средств защиты информации многофункциональной информационной системы,2009 ,https://cyberleninka.ru/article//article/n/metodika-vybora-ratsionalnogo-kompleksa-programmno-apparatnyh-sredstv-zaschity-informatsii-mnogofunktsionalnoy-informatsionnoy, Михеев Вячеслав Алексеевич
Представление операторов параллельного программирования в унифицированной параллельной форме,2004 ,https://cyberleninka.ru/article//article/n/predstavlenie-operatorov-parallelnogo-programmirovaniya-v-unifitsirovannoy-parallelnoy-forme," Дордопуло А. И., Омаров О. М."
Разложение цифровых изображений с помощью двумерного дискретного вейвлет-впреобразования и быстрого преобразования Хаара,2011 ,https://cyberleninka.ru/article//article/n/razlozhenie-tsifrovyh-izobrazheniy-s-pomoschyu-dvumernogo-diskretnogo-veyvlet-vpreobrazovaniya-i-bystrogo-preobrazovaniya-haara," Тхи Тху Чанг Буй, Спицын Владимир Григорьевич"
Некоторые аспекты создания автоматизированной системы информационного обеспечения учебного процесса,2001 ,https://cyberleninka.ru/article//article/n/nekotorye-aspekty-sozdaniya-avtomatizirovannoy-sistemy-informatsionnogo-obespecheniya-uchebnogo-protsessa-1, Кисель А. П.
Автоматизированная компьютерная система голосового управления автомобилем,2009 ,https://cyberleninka.ru/article//article/n/avtomatizirovannaya-kompyuternaya-sistema-golosovogo-upravleniya-avtomobilem," Кравченко А. П., Крамарь Н. М., Морозов И. В."
"Построение систем, обрабатывающих большие вычисления: проблемы и тенденции",2010 ,https://cyberleninka.ru/article//article/n/postroenie-sistem-obrabatyvayuschih-bolshie-vychisleniya-problemy-i-tendentsii," Филиппенко Петр Николаевич, Шашелов Артем Андреевич, Сеитова Светлана Владимировна"
"Методы оценки актуальности научных публикаций, на основе анализа интернет-обращений к научным порталам",2010 ,https://cyberleninka.ru/article//article/n/metody-otsenki-aktualnosti-nauchnyh-publikatsiy-na-osnove-analiza-internet-obrascheniy-k-nauchnym-portalam," Силич Виктор Алексеевич, Савельев Алексей Олегович, Марчуков Артур Викторович, Алексеев Александр Александрович"
Фрактальные свойства GPRS трафика на протоколах сетевых уровней,2009 ,https://cyberleninka.ru/article//article/n/fraktalnye-svoystva-gprs-trafika-na-protokolah-setevyh-urovney," Шелухин О. И., Матвеев С. Б."
Использование многоагентных технологий для комплексной защиты информационных ресурсов в компьютерных сетях,2001 ,https://cyberleninka.ru/article//article/n/ispolzovanie-mnogoagentnyh-tehnologiy-dlya-kompleksnoy-zaschity-informatsionnyh-resursov-v-kompyuternyh-setyah," Котенко И. В., Карсаев О. И."
Аппаратно-программный комплекс обработки данных летных испытаний,2002 ,https://cyberleninka.ru/article//article/n/apparatno-programmnyy-kompleks-obrabotki-dannyh-letnyh-ispytaniy," Катаев О. В., Мельник Э. В., Петручук И. В., Трунов Г. Л."
Алгебраический подход к анализу кадровой ситуации в организации,2005 ,https://cyberleninka.ru/article//article/n/algebraicheskiy-podhod-k-analizu-kadrovoy-situatsii-v-organizatsii, Невраева И. В.
Об одном подходе к построению моделей принятия решений для слабоструктурированных задач в условиях многоэтапности и коллективности,2001 ,https://cyberleninka.ru/article//article/n/ob-odnom-podhode-k-postroeniyu-modeley-prinyatiya-resheniy-dlya-slabostrukturirovannyh-zadach-v-usloviyah-mnogoetapnosti-i," Вовк C. П., Гинис Л. А."
Блок синтеза концептуальных схем и блок построения комплекта организационных процедур,1998 ,https://cyberleninka.ru/article//article/n/blok-sinteza-kontseptualnyh-shem-i-blok-postroeniya-komplekta-organizatsionnyh-protsedur, Кононенко А. А.
Проблемы синтеза интеллектуального трансляционного модуля мультитранслятора для обработки речевых сообщений,2007 ,https://cyberleninka.ru/article//article/n/problemy-sinteza-intellektualnogo-translyatsionnogo-modulya-multitranslyatora-dlya-obrabotki-rechevyh-soobscheniy," Чернухин Ю. В., Крамарь М. В."
Принципы построения Web-ориентированной ГИС промышленного предприятия,2006 ,https://cyberleninka.ru/article//article/n/printsipy-postroeniya-web-orientirovannoy-gis-promyshlennogo-predpriyatiya," Ехлаков Ю. П., Жуковский О. И., Рыбалов Н. Б."
Модели представления знаний и представление текста в форме семантической сети,2005 ,https://cyberleninka.ru/article//article/n/modeli-predstavleniya-znaniy-i-predstavlenie-teksta-v-forme-semanticheskoy-seti, Котов Э. М.
Исследование и разработка интеллектуальной системы планирования учебной нагрузки кафедры,1995 ,https://cyberleninka.ru/article//article/n/issledovanie-i-razrabotka-intellektualnoy-sistemy-planirovaniya-uchebnoy-nagruzki-kafedry," Астанина Е. Ю., Колпачева Л. А."
Криптоанализ и криптография: история противостояния,2009 ,https://cyberleninka.ru/article//article/n/kriptoanaliz-i-kriptografiya-istoriya-protivostoyaniya," Авдошин С. М., Савельева А. А."
Язык программирования аспект,2008 ,https://cyberleninka.ru/article//article/n/yazyk-programmirovaniya-aspekt, Арыков С. Б.
Синергетические оценки качества восприятия мультимедийных систем,2010 ,https://cyberleninka.ru/article//article/n/sinergeticheskie-otsenki-kachestva-vospriyatiya-multimediynyh-sistem," Шелухин Олег Иванович, Даньшина Елена Викторовна"
Решение задачи коммивояжера с использованием генетического алгоритма,1999 ,https://cyberleninka.ru/article//article/n/reshenie-zadachi-kommivoyazhera-s-ispolzovaniem-geneticheskogo-algoritma, Матузков О. В.
Подход к защите информации в АСУ оператора связи на основе миварных баз данных и правил,2003 ,https://cyberleninka.ru/article//article/n/podhod-k-zaschite-informatsii-v-asu-operatora-svyazi-na-osnove-mivarnyh-baz-dannyh-i-pravil," Варламов О. О., Амарян М. Р., Лысаковский В. А., Адамова Л. Е."
Системная оболочка BrainStorm для поддержки унаследованного программного обеспечения,2006 ,https://cyberleninka.ru/article//article/n/sistemnaya-obolochka-brainstorm-dlya-podderzhki-unasledovannogo-programmnogo-obespecheniya," Зимин В. П., Хомяков Е. А."
Анализ неформальных моделей представления знаний в системах принятия решений,2010 ,https://cyberleninka.ru/article//article/n/analiz-neformalnyh-modeley-predstavleniya-znaniy-v-sistemah-prinyatiya-resheniy," Сеченов Михаил Дмитриевич, Щеглов Сергей Николаевич"
Безопасность и надежность сети Интернет следующего поколения,2003 ,https://cyberleninka.ru/article//article/n/bezopasnost-i-nadezhnost-seti-internet-sleduyuschego-pokoleniya, Зотов А. А.
Алгоритм программной генерации парольного доступа к данным,2007 ,https://cyberleninka.ru/article//article/n/algoritm-programmnoy-generatsii-parolnogo-dostupa-k-dannym," Кожевников Г. К., Бондаренко Т. С."
Новые технологии в логопедической работе на основе методов компьютерной стабилографии,2010 ,https://cyberleninka.ru/article//article/n/novye-tehnologii-v-logopedicheskoy-rabote-na-osnove-metodov-kompyuternoy-stabilografii," Ренжигло Людмила Михайловна, Войнов Иван Дмитриевич"
Методика идентификации автора текста на основе аппарата опорных векторов,2009 ,https://cyberleninka.ru/article//article/n/metodika-identifikatsii-avtora-teksta-na-osnove-apparata-opornyh-vektorov, Романов Александр Сергеевич
SaaS-решения лидеров в IT-индустрии,2010 ,https://cyberleninka.ru/article//article/n/saas-resheniya-liderov-v-it-industrii, Денисов Д. В.
Бортовые оперативно-советующие экспертные системы типовых ситуаций и семантический облик их баз знаний,2003 ,https://cyberleninka.ru/article//article/n/bortovye-operativno-sovetuyuschie-ekspertnye-sistemy-tipovyh-situatsiy-i-semanticheskiy-oblik-ih-baz-znaniy, Федунов Б. Е.
Разработка защитного фильтра для противодействия нетрадиционному каналу в сетях пакетной передачи данных,2008 ,https://cyberleninka.ru/article//article/n/razrabotka-zaschitnogo-filtra-dlya-protivodeystviya-netraditsionnomu-kanalu-v-setyah-paketnoy-peredachi-dannyh," Лиходедова Галина Николаевна, Орехова Анна Александровна, Дементеев Александр Ильич"
Кластерная обработка продукционных правил в базе знаний интеллектуальных САПР,2009 ,https://cyberleninka.ru/article//article/n/klasternaya-obrabotka-produktsionnyh-pravil-v-baze-znaniy-intellektualnyh-sapr, Родзина Ольга Николаевна
Особенности моделирования когнитивных агентов формирования внимания ЛПР,2002 ,https://cyberleninka.ru/article//article/n/osobennosti-modelirovaniya-kognitivnyh-agentov-formirovaniya-vnimaniya-lpr, Горбатюк Н. В.
Адаптация в продукционных моделях нечеткого логического вывода,2011 ,https://cyberleninka.ru/article//article/n/adaptatsiya-v-produktsionnyh-modelyah-nechetkogo-logicheskogo-vyvoda, Айбазова Аминат Абдуллаховна
Программное средство для анализа рисков risk watсh,2003 ,https://cyberleninka.ru/article//article/n/programmnoe-sredstvo-dlya-analiza-riskov-risk-watsh," Нетребенко Е. А., Шилов А. К."
Кризис информационной безопасности в условиях глобализации угроз терроризма,2003 ,https://cyberleninka.ru/article//article/n/krizis-informatsionnoy-bezopasnosti-v-usloviyah-globalizatsii-ugroz-terrorizma," Котенко В. В., Румянцев К. Е."
Модель стоимости аренды в задачах оптимизации вторичных сетей связи,1999 ,https://cyberleninka.ru/article//article/n/model-stoimosti-arendy-v-zadachah-optimizatsii-vtorichnyh-setey-svyazi," Галустов Г. Г., Пушнин А. В., Финаев В. И."
